spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,
1YYfyJ2yCvGFCxwjsIqEK9,Khé?,"Rauw Alejandro, Romeo Santos",3,0,47,El Salvador,2024-11-19,74,False,206066,Cosa Nuestra,2024-11-15,0.687,0.627,7,-4.975,1,0.181,0.326,0,0.0893,0.47,155.865,4,
2FFr0vdtqPBTK3RW0c7T5C,Cupido,"Engel Montaz, Kuv507, Latinnites Music",4,5,1,El Salvador,2024-11-19,72,False,215000,Desire,2024-07-10,0.914,0.601,11,-5.255,1,0.163,0.0888,0.00000462,0.264,0.648,96.041,4,
2eQFYGegTZaObk2kuBz83Z,Tú Con Él,Rauw Alejandro,5,-1,45,El Salvador,2024-11-19,74,False,289131,Cosa Nuestra,2024-11-15,0.736,0.888,7,-4.518,1,0.0408,0.243,0.000205,0.239,0.788,93.05,4,
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,6,2,-4,El Salvador,2024-11-19,92,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4,
7bywjHOc0wSjGGbj04XbVi,LUNA,"Feid, ATL Jacob",7,-1,-4,El Salvador,2024-11-19,88,False,196800,FERXXOCALIPSIS,2023-12-01,0.774,0.86,7,-2.888,0,0.13,0.131,0,0.116,0.446,100.019,4,
0Sr7ssScx54yxdM2ols7nW,Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",8,-1,-4,El Salvador,2024-11-19,89,True,224022,PRIMERA MUSA,2024-09-20,0.56,0.681,6,-6.304,0,0.244,0.103,0,0.106,0.388,155.079,4,
1uFW6czrHk5PsK3s6gOI7C,Se Fue,"Rauw Alejandro, Laura Pausini",9,-4,41,El Salvador,2024-11-19,74,False,240179,Cosa Nuestra,2024-11-15,0.689,0.743,8,-2.817,1,0.0328,0.0694,0,0.0966,0.138,119.957,4,
3mg9jYNC1NihbthlglzrWP,57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",10,0,3,El Salvador,2024-11-19,83,True,298130,57,2024-11-08,0.848,0.712,1,-3.574,0,0.0981,0.221,0,0.106,0.692,91.98,4,
2UD4l3evthKlDOM6HSrc9N,Cígo a káva (feat. Saul),"Viktor Sheen, Saul",1,0,0,Slovakia,2024-11-19,61,True,183428,Impostor syndrom,2024-11-08,0.752,0.685,1,-5.798,1,0.0591,0.0234,0.621,0.114,0.201,139.995,4,
6gj6FXx7jZXOOdLX4aNaSK,Syndrom,Viktor Sheen,2,0,3,Slovakia,2024-11-19,62,False,166299,Impostor syndrom,2024-11-08,0.826,0.711,10,-5.649,0,0.0722,0.374,0.00579,0.0718,0.557,127.102,4,
5uyUYBf12MoDctqYKEUFti,GHETTO ROMANTIKA,Hard Rico,3,0,9,Slovakia,2024-11-19,58,True,153070,GLOBAL,2024-10-18,0.879,0.766,5,-5.832,0,0.061,0.0212,0.000068,0.0988,0.886,127.132,4,
63t5KcNc6sOvyo0leRzueh,Ohnivej kruh,Viktor Sheen,4,0,-2,Slovakia,2024-11-19,62,False,130909,Impostor syndrom,2024-11-08,0.62,0.656,4,-5.374,0,0.13,0.063,0.00000763,0.0806,0.143,77.018,4,
71oYEUUlOT1ANUqHei1dKO,Převlečená žízeň,Viktor Sheen,5,2,-1,Slovakia,2024-11-19,62,True,173114,Impostor syndrom,2024-11-08,0.737,0.843,7,-6.061,0,0.0484,0.31,0.0000439,0.393,0.216,122.02,4,
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,6,6,9,Slovakia,2024-11-19,93,False,211978,Sailor Song,2024-07-26,0.494,0.413,11,-10.432,1,0.0254,0.682,0.0000672,0.193,0.273,94.938,4,
7jAC1Ifo1Qpsf8pKW02ata,Roleplay,Viktor Sheen,7,1,0,Slovakia,2024-11-19,61,True,172800,Impostor syndrom,2024-11-08,0.648,0.62,8,-6.025,0,0.34,0.149,0.00000415,0.0837,0.465,123.65,4,
1P8o6bOTyh1kEqe72JFzzO,NENI STRE$S,"Pil C, Luca Brassi10x, Separ",8,-3,6,Slovakia,2024-11-19,61,True,169811,VOJNA,2024-06-07,0.842,0.758,10,-7.584,0,0.17,0.0128,0.00000702,0.336,0.361,106.029,4,
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,Linkin Park,9,-3,41,Slovakia,2024-11-19,75,True,190427,From Zero,2024-11-15,0.466,0.872,7,-3.344,1,0.0336,0.0156,0,0.121,0.806,184.115,4,
1nwKq6t4wpKLK2bWkDVm3e,Pátky,Viktor Sheen,10,-1,-2,Slovakia,2024-11-19,61,True,188571,Impostor syndrom,2024-11-08,0.808,0.784,8,-6.467,0,0.0863,0.616,0.000145,0.133,0.793,139.946,4,
5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",1,0,0,Singapore,2024-11-19,98,False,169917,APT.,2024-10-18,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4,
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,2,0,0,Singapore,2024-11-19,92,False,170887,MUSE,2024-07-19,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4,
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",3,0,0,Singapore,2024-11-19,100,False,251667,Die With A Smile,2024-08-16,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3,
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,4,0,0,Singapore,2024-11-19,93,True,166300,The Secret of Us (Deluxe),2024-10-18,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4,
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,5,0,0,Singapore,2024-11-19,97,False,210373,HIT ME HARD AND SOFT,2024-05-17,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4,
4p7DTkyrKqT98xlIwYYfXz,Running Wild,Jin,6,0,44,Singapore,2024-11-19,84,False,151646,Happy,2024-11-15,0.487,0.711,8,-4.22,1,0.0322,0.000175,0,0.152,0.317,146.921,4,
2Qcbspnftnon37jibwyvMU,I'll Be There,Jin,7,0,4,Singapore,2024-11-19,89,False,181677,I'll Be There,2024-10-25,0.538,0.738,10,-2.412,1,0.0445,0.0351,0,0.0898,0.736,148.887,4,
